,country_code,category,subcategory,source,model,name,unit,size_class,occupancy,capacity,range,fuel_type,co2e_unit,co2e,seating,comment
116,LT,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.27110,,
117,LU,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.08493,,
118,MO,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.42542,,
119,MG,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.53016,,
120,MW,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.12332,,
121,MY,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.53834,,
122,MV,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.73229,,
123,ML,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.50868,,
124,MT,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.42689,,
125,MQ,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.79231,,
126,MR,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.58159,,
127,MU,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.65073,,
128,MX,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.30000,,
129,MD,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.69981,,
130,MN,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.80174,,
131,ME,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.64377,,
132,MS,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.79231,,
133,MA,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.64226,,
134,MZ,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.10527,,
135,MM,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.32444,,
136,NA,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.03809,,
137,NR,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.79231,,
138,NP,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.00000,,
139,NL,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.34089,,
140,NC,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.68384,,
141,NZ,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.13111,,
142,NI,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.36238,,
143,NE,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.70428,,
144,NG,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.31727,,
145,KP,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.14784,,
146,MK,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.53802,,
147,NO,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.00832,,
148,OM,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.42358,,
149,PK,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.32737,,
150,PS,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.47580,,
151,PA,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.18387,,
152,PG,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.58250,,
153,PY,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.00143,,
154,PE,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.22693,,
155,PH,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.60756,,
156,PL,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.87761,,
157,PT,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.15641,,
158,PR,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.77062,,
159,QA,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.42515,,
160,RE,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.55147,,
161,RO,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.31148,,
162,RU,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.34362,,
163,RW,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.31692,,
164,KN,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.75630,,
165,LC,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.79231,,
166,PM,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.79231,,
167,VC,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.59423,,
168,WS,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.51267,,
169,ST,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.71308,,
170,SA,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.61420,,
171,SN,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.54280,,
172,RS,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.96323,,
173,SC,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.69480,,
174,SL,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.07546,,
175,SG,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.40800,,
176,SK,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.17622,,
177,SI,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.27329,,
178,SB,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.79231,,
179,SO,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.71501,,
180,ZA,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.86650,,
181,KR,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.41130,,
182,SS,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.77841,,
183,ES,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.17709,,
184,LK,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.48882,,
185,SD,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.26763,,
186,SR,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.39223,,
187,SE,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.00731,,
188,CH,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.00278,,
189,SY,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.53139,,
190,TW,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.55746,,
191,TJ,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.06352,,
192,TZ,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.36013,,
193,TH,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.44600,,
194,TG,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.49698,,
195,TO,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.69327,,
196,TT,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.42871,,
197,TN,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.40675,,
198,TR,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.42610,,
199,TM,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.42542,,
200,TC,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.79231,,
201,UG,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.02414,,
202,UA,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.20375,,
203,AE,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.41789,,
204,GB,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.22499,,
205,US,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.40706,,
206,VI,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.76967,,
207,UY,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.07148,,
208,UZ,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.46613,,
209,VU,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.56977,,
210,VE,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.19141,,
211,VN,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.37789,,
212,EH,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.79231,,
213,YE,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.58073,,
214,ZM,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.06617,,
215,ZW,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.39607,,
